,id,Number of Reviews
1297,d5609015,2.0
1298,d12711932,4.0
1299,d12095037,
1300,d5814866,3.0
1301,d5616126,
1302,d12143981,4.0
1303,d5122055,
1304,d4043779,1.0
1305,d11896158,
1306,d13154458,1.0
1307,d10795652,2.0
1308,d12321597,2.0
1309,d12861342,2.0
1310,d946740,3.0
1311,d10151309,3.0
1312,d5247599,1.0
1313,d753452,1.0
1314,d10729053,1.0
1315,d9978314,1.0
1316,d11932473,4.0
1317,d11705249,3.0
1318,d10364862,4.0
1319,d10050679,1.0
1320,d5646702,
1321,d12655941,1.0
1322,d3721673,1.0
1323,d12716346,4.0
1324,d6022580,2.0
1325,d9729069,2.0
1326,d12946237,9.0
1327,d10948259,
1328,d8494036,1.0
1329,d10763125,3.0
1330,d4723580,1.0
1331,d3524644,1.0
1332,d8154190,1.0
1333,d8765683,1.0
1334,d6405048,1.0
1335,d12535596,10.0
1336,d8380890,2.0
1337,d10158548,1.0
1338,d12932686,2.0
1339,d3695854,1.0
1340,d5851549,1.0
1341,d8633173,1.0
1342,d10480552,
1343,d13219471,11.0
1344,d991134,1.0
1345,d3859890,1.0
1346,d12945924,160.0
1347,d1043860,7.0
1348,d11739342,5.0
1349,d10211859,1.0
1350,d13094735,12.0
1351,d13198034,3.0
1352,d12992754,
1353,d12925194,4.0
1354,d1093033,
1355,d3953017,1.0
1356,d12331250,1.0
1357,d7124150,0.0
1358,d7713871,1.0
1359,d12882677,6.0
1360,d10617521,2.0
1361,d13111916,1.0
1362,d5518843,
1363,d12234830,22.0
1364,d12227911,3.0
1365,d13320816,11.0
1366,d5812335,4.0
1367,d4925580,
1368,d1035321,1.0
1369,d13138821,18.0
1370,d2615542,3.0
1371,d5799795,
1372,d10467138,2.0
1373,d1035339,1.0
1374,d4563690,1.0
1375,d13220144,6.0
1376,d5790321,1.0
1377,d10878576,9.0
1378,d10874795,1.0
1379,d13094987,5.0
1380,d13168333,153.0
1381,d12396410,2.0
1382,d1184234,1.0
1383,d4148444,1.0
1384,d5260140,1.0
1385,d7271978,2.0
1386,d10261546,1.0
1387,d7124269,1.0
1388,d11955490,2.0
1389,d10789547,1.0
1390,d11808139,4.0
1391,d1043426,1.0
1392,d12015306,13.0
1393,d4823751,1.0
1394,d3645177,0.0
1395,d10818106,
1396,d12924358,4.0
1397,d1035119,0.0
1398,d807728,1.0
1399,d8333877,1.0
1400,d4912273,
1401,d12588631,3.0
1402,d5864007,1.0
1403,d8339828,2.0
1404,d11927814,
1405,d13323744,5.0
1406,d4767875,1.0
1407,d12558218,2.0
1408,d5506953,1.0
1409,d12276854,
1410,d12817571,21.0
1411,d12043663,5.0
1412,d12893108,1.0
1413,d10460928,
1414,d10813800,
1415,d12247125,25.0
1416,d4924950,3.0
1417,d12703747,5.0
1418,d12875825,10.0
1419,d5852490,3.0
1420,d5600142,3.0
1421,d12360172,3.0
1422,d12360812,3.0
1423,d7778326,1.0
1424,d6452953,2.0
1425,d12439175,5.0
1426,d4354852,1.0
1427,d1356203,1.0
1428,d12794032,2.0
1429,d7706329,1.0
1430,d11305968,1.0
1431,d12361770,7.0
1432,d5220218,4.0
1433,d11910487,1.0
1434,d5886085,1.0
1435,d5965945,
1436,d10543288,
1437,d12873363,2.0
1438,d4163838,1.0
1439,d12407008,7.0
1440,d1044693,1.0
1441,d12459712,3.0
1442,d4082366,0.0
1443,d11802335,1.0
1444,d12484619,3.0
1445,d5487087,2.0
1446,d9459226,1.0
1447,d9700155,1.0
1448,d12502443,
1449,d11759466,1.0
1450,d12788091,
1451,d10459894,1.0
1452,d8040778,1.0
1453,d5977127,
1454,d7906576,
1455,d8366551,1.0
1456,d12322249,5.0
1457,d10789325,1.0
1458,d2569745,1.0
1459,d5966205,1.0
1460,d3703031,1.0
1461,d12843304,2.0
1462,d3562694,1.0
1463,d718141,1.0
1464,d4768229,2.0
1465,d7274046,3.0
1466,d12184090,1.0
1467,d8581478,1.0
1468,d4139530,1.0
1469,d13294491,110.0
1470,d8726179,3.0
1471,d12900540,
1472,d5285770,1.0
1473,d7315051,
1474,d4770063,1.0
1475,d12616118,7.0
1476,d4924028,2.0
1477,d12654085,
1478,d10675809,8.0
1479,d13140520,1.0
1480,d8768265,2.0
1481,d12716391,2.0
1482,d12322934,2.0
1483,d11956001,3.0
1484,d12653008,2.0
1485,d5518528,6.0
1486,d3682215,4.0
1487,d1389703,1.0
1488,d4769799,1.0
1489,d2614499,1.0
1490,d10229836,2.0
1491,d5519956,
1492,d13382231,1.0
1493,d12666409,2.0
1494,d7098136,1.0
1495,d10129421,2.0
1496,d8602873,1.0
1497,d12477194,5.0
1498,d8645941,1.0
1499,d3440658,1.0
1500,d12908464,19.0
1501,d5542177,3.0
1502,d13199355,7.0
1503,d13221327,3.0
1504,d10901158,5.0
1505,d7211116,4.0
1506,d12794670,4.0
1507,d8341386,1.0
1508,d7942285,
1509,d4844397,1.0
1510,d12321104,10.0
1511,d12524614,4.0
1512,d5981269,
1513,d11716788,3.0
1514,d12994513,26.0
1515,d8368897,1.0
1516,d3640273,1.0
1517,d10164114,
1518,d12903363,1.0
1519,d10341702,1.0
1520,d7993666,
1521,d12725263,5.0
1522,d986415,1.0
1523,d7778457,1.0
1524,d8471317,2.0
1525,d13116481,2.0
1526,d12267836,1.0
1527,d11802029,3.0
1528,d7604639,1.0
1529,d5609053,
1530,d5220177,
1531,d12358681,13.0
1532,d6224318,1.0
1533,d10373462,5.0
1534,d8614707,2.0
1535,d6966876,2.0
1536,d12708096,31.0
1537,d9752090,1.0
1538,d10172709,4.0
1539,d13275113,4.0
1540,d11911978,5.0
1541,d13227872,3.0
1542,d12136417,
1543,d12992748,9.0
1544,d10746833,1.0
1545,d5956501,
1546,d12665982,8.0
1547,d4770182,1.0
1548,d5987965,
1549,d12029058,1.0
1550,d12079908,7.0
1551,d8672442,4.0
1552,d5800746,
1553,d12946349,1.0
1554,d986416,1.0
1555,d801050,1.0
1556,d10305224,1.0
1557,d13170374,9.0
1558,d5523470,1.0
1559,d7599778,1.0
1560,d12632861,3.0
1561,d10667241,1.0
1562,d810086,3.0
1563,d8751574,
1564,d12492132,89.0
1565,d4150098,1.0
1566,d1341340,2.0
1567,d13000302,8.0
1568,d7124447,1.0
1569,d6482168,1.0
1570,d11809014,2.0
1571,d12914836,6.0
1572,d10456426,
1573,d3680629,1.0
1574,d13200350,3.0
1575,d12378267,1.0
1576,d8065349,1.0
1577,d11828761,3.0
1578,d12936715,12.0
1579,d11857377,2.0
1580,d10686601,4.0
1581,d1062383,1.0
1582,d7990861,3.0
1583,d5487212,1.0
1584,d4082285,1.0
1585,d8737537,1.0
1586,d4770161,
1587,d9718684,2.0
1588,d12950404,3.0
1589,d6784109,
1590,d718284,1.0
1591,d10194262,1.0
1592,d10042413,
1593,d12090531,1.0
1594,d7819987,1.0
1595,d9561755,4.0
1596,d12332916,19.0
1597,d7799870,1.0
1598,d12864736,3.0
1599,d12712237,5.0
1600,d12062083,7.0
1601,d1043391,1.0
1602,d3525392,1.0
1603,d9596193,1.0
1604,d13150160,4.0
1605,d10202388,1.0
1606,d1324495,1.0
1607,d12187488,4.0
1608,d12367784,8.0
1609,d10509697,3.0
1610,d12192143,1.0
1611,d13076032,1.0
1612,d1034646,1.0
1613,d7251286,
1614,d5609153,
1615,d4925425,
1616,d2011682,1.0
1617,d12922003,12.0
1618,d10547346,52.0
1619,d13187843,15.0
1620,d8338688,0.0
1621,d7660750,1.0
1622,d12903253,7.0
1623,d12899531,4.0
1624,d7806860,1.0
1625,d7902946,
1626,d5520987,1.0
1627,d8762922,15.0
1628,d8619243,5.0
1629,d7706919,1.0
1630,d7792232,1.0
1631,d1014035,1.0
1632,d12301154,83.0
1633,d10883994,2.0
1634,d4769815,3.0
1635,d1044115,1.0
1636,d4770123,1.0
1637,d10836656,
1638,d7123206,1.0
1639,d12840888,3.0
1640,d12718161,12.0
1641,d12988297,6.0
1642,d7124282,1.0
1643,d11916527,19.0
1644,d2181493,1.0
1645,d720554,1.0
1646,d11688167,
1647,d12799981,10.0
1648,d5016395,1.0
1649,d13330252,1.0
1650,d10425543,1.0
1651,d11931353,1.0
1652,d11933105,
1653,d7214111,
1654,d9846354,5.0
1655,d12999410,6.0
1656,d813998,1.0
1657,d12480147,6.0
1658,d12940168,16.0
1659,d10491948,1.0
1660,d4604132,1.0
1661,d13116870,1.0
1662,d13156718,5.0
1663,d13323452,19.0
1664,d7124084,1.0
1665,d10353403,2.0
1666,d2524716,1.0
1667,d12320863,1.0
1668,d12969140,1.0
1669,d12171526,
1670,d12725758,2.0
1671,d5824683,
1672,d12321261,2.0
1673,d4793289,1.0
1674,d12523722,4.0
1675,d11637313,3.0
1676,d13010268,35.0
1677,d12331907,1.0
1678,d10347318,
1679,d13129440,75.0
1680,d10818781,2.0
1681,d12922191,15.0
1682,d13124708,88.0
1683,d9768658,1.0
1684,d13283517,2.0
1685,d5976435,2.0
1686,d10352428,2.0
1687,d11707917,1.0
1688,d11909308,4.0
1689,d1044487,1.0
1690,d10763041,3.0
1691,d7285453,1.0
1692,d13195842,1.0
1693,d12128050,1.0
1694,d5960726,1.0
1695,d12207211,3.0
1696,d7123315,2.0
1697,d10620526,1.0
1698,d4924859,3.0
1699,d5772879,
1700,d12690988,1.0
1701,d13236837,2.0
1702,d11800123,
1703,d12947271,8.0
1704,d5449144,1.0
1705,d8139050,1.0
1706,d12682405,1.0
1707,d1204139,1.0
1708,d11916033,2.0
1709,d8461858,4.0
1710,d5884411,
1711,d6623430,2.0
1712,d743434,1.0
1713,d12320523,1.0
1714,d13418128,16.0
1715,d12556899,
1716,d7260354,1.0
1717,d2660122,2.0
1718,d12882922,
1719,d12827824,11.0
1720,d10624432,1.0
1721,d5327378,1.0
1722,d12269581,2.0
1723,d13088142,3.0
1724,d731913,1.0
1725,d5487099,1.0
1726,d12866425,0.0
1727,d13164271,
1728,d12730923,2.0
1729,d10205607,1.0
1730,d11872877,1.0
1731,d990826,1.0
1732,d12542756,8.0
1733,d10292298,6.0
1734,d12575347,1.0
1735,d5981359,
1736,d775324,1.0
1737,d5486305,1.0
1738,d1092696,1.0
1739,d7932605,1.0
1740,d10335797,1.0
1741,d8138537,1.0
1742,d10309121,3.0
1743,d10819872,1.0
1744,d3543463,1.0
1745,d4555128,2.0
1746,d3199762,1.0
1747,d13307636,13.0
1748,d9585261,1.0
1749,d2514039,1.0
1750,d13120933,11.0
1751,d12866419,0.0
1752,d5607454,10.0
1753,d8684717,7.0
1754,d12825960,8.0
1755,d13298082,5.0
1756,d5260522,1.0
1757,d7624276,1.0
1758,d6109156,1.0
1759,d10027024,
1760,d10167781,1.0
1761,d10522262,3.0
1762,d5822036,
1763,d1323404,1.0
1764,d6211432,1.0
1765,d11891355,1.0
1766,d11860019,1.0
1767,d3649034,1.0
1768,d12511629,2.0
1769,d12509597,
1770,d13197586,9.0
1771,d12369090,11.0
1772,d12969456,63.0
1773,d8812909,1.0
1774,d13237265,124.0
1775,d5869972,
1776,d12682765,1.0
1777,d12919466,34.0
1778,d3235738,1.0
1779,d7171730,
1780,d3847920,1.0
1781,d11994418,6.0
1782,d12989277,7.0
1783,d12670403,8.0
1784,d5818673,
1785,d740221,1.0
1786,d5122740,1.0
1787,d11997673,5.0
1788,d10033274,1.0
1789,d7714322,1.0
1790,d12594006,3.0
1791,d8019062,1.0
1792,d7691371,1.0
1793,d9746758,1.0
1794,d7677945,1.0
1795,d3970480,4.0
1796,d10511790,1.0
1797,d12925825,2.0
1798,d13341137,3.0
1799,d13320037,6.0
1800,d11724732,6.0
1801,d13171763,9.0
1802,d12596349,6.0
1803,d4149825,1.0
1804,d12872693,7.0
1805,d9730692,1.0
1806,d13293560,21.0
1807,d5864138,2.0
1808,d12603591,1.0
1809,d13007244,1.0
1810,d12556871,
1811,d12982760,
1812,d11629708,4.0
1813,d4793477,1.0
1814,d12276417,5.0
1815,d4802075,1.0
1816,d12979482,1.0
1817,d5603239,5.0
1818,d10779161,3.0
1819,d12963527,7.0
1820,d12841375,1.0
1821,d8581449,1.0
1822,d11621192,2.0
1823,d9726428,1.0
1824,d10348400,
1825,d12950745,5.0
1826,d2012255,1.0
1827,d11814231,
1828,d987833,1.0
1829,d11860832,1.0
1830,d1343445,1.0
1831,d8790983,
1832,d5977039,1.0
1833,d694430,1.0
1834,d12865928,3.0
1835,d12946158,1.0
1836,d10505509,1.0
1837,d13286191,75.0
1838,d6610608,1.0
1839,d5220228,1.0
1840,d12882466,2.0
1841,d12842994,2.0
1842,d7306119,1.0
1843,d8429034,
1844,d12925683,3.0
1845,d13132392,5.0
1846,d8727194,3.0
1847,d10733907,1.0
1848,d12515587,
1849,d11793427,1.0
1850,d13392707,
1851,d7060772,1.0
1852,d12386328,1.0
1853,d12711190,1.0
1854,d7713936,1.0
1855,d8354043,
1856,d9776759,
1857,d11767612,
1858,d1335659,1.0
1859,d12389547,1.0
1860,d5824261,9.0
1861,d13108357,4.0
1862,d13506993,16.0
1863,d3821682,1.0
1864,d6890082,4.0
1865,d4269349,
1866,d12831572,2.0
1867,d8807347,
1868,d12807643,4.0
1869,d5414926,2.0
1870,d12844146,7.0
1871,d9767595,1.0
1872,d13237797,5.0
1873,d12526149,
1874,d13307450,10.0
1875,d10487971,2.0
1876,d10833978,2.0
1877,d12450497,2.0
1878,d12257746,1.0
1879,d13162263,1.0
1880,d3442655,1.0
1881,d7123564,1.0
1882,d7123696,1.0
1883,d12120287,3.0
1884,d7246438,2.0
1885,d13139838,14.0
1886,d12029451,2.0
1887,d964501,1.0
1888,d13129944,18.0
1889,d12517861,4.0
1890,d12949527,4.0
1891,d11869279,2.0
1892,d12128270,2.0
1893,d695146,1.0
1894,d10077708,
1895,d13125118,8.0
1896,d12208953,
1897,d9729939,1.0
1898,d742687,1.0
1899,d12994294,
1900,d2708995,1.0
1901,d991628,1.0
1902,d10201979,2.0
1903,d13295116,1.0
1904,d12323267,
1905,d5494183,1.0
1906,d5525540,1.0
1907,d12957841,6.0
1908,d9788488,2.0
1909,d13199409,4.0
1910,d5959868,1.0
1911,d13023866,19.0
1912,d10003108,
1913,d11671091,3.0
1914,d4778073,
1915,d7815272,
1916,d5770013,
1917,d13187514,4.0
1918,d11925562,1.0
1919,d10778626,1.0
1920,d5816855,1.0
1921,d10071176,2.0
1922,d13164764,9.0
1923,d10554458,6.0
1924,d11825035,52.0
1925,d12669552,1.0
1926,d12911423,2.0
1927,d3576260,1.0
1928,d13094943,
1929,d8449603,1.0
1930,d10618912,4.0
1931,d12947060,29.0
1932,d12632164,6.0
1933,d8490027,1.0
1934,d8828438,1.0
1935,d879379,1.0
1936,d7345199,1.0
1937,d3535941,1.0
1938,d7342569,1.0
1939,d5523421,1.0
1940,d12111087,4.0
1941,d12962892,2.0
1942,d7976846,1.0
1943,d1044266,1.0
1944,d12802661,3.0
1945,d12362916,1.0
1946,d12874956,9.0
1947,d5853093,
1948,d3956689,1.0
1949,d777517,1.0
1950,d7894408,5.0
1951,d1081756,1.0
1952,d13121923,3.0
1953,d5507229,
1954,d13206499,4.0
1955,d13200203,4.0
1956,d12340677,
1957,d11741872,
1958,d12827433,1.0
1959,d5980445,1.0
1960,d7626464,1.0
1961,d5122717,
1962,d4768212,1.0
1963,d9823373,
1964,d11863778,5.0
1965,d11841903,7.0
1966,d13200450,4.0
1967,d12883439,1.0
1968,d12903965,3.0
1969,d8841968,4.0
1970,d12246247,13.0
1971,d9604677,2.0
1972,d11651830,1.0
1973,d12946086,
1974,d13298844,17.0
1975,d12826225,1.0
1976,d3598499,1.0
1977,d12320180,4.0
1978,d12336951,
1979,d2517894,2.0
1980,d1044100,1.0
1981,d5828805,
1982,d12976363,20.0
1983,d10319803,2.0
1984,d12533808,4.0
1985,d8763528,1.0
1986,d7279200,1.0
1987,d7887289,2.0
1988,d9562457,1.0
1989,d10026656,1.0
1990,d12952495,8.0
1991,d11538644,1.0
1992,d13202060,2.0
1993,d10733092,5.0
1994,d12936195,2.0
1995,d2084899,3.0
1996,d13001052,12.0
1997,d12156192,1.0
1998,d8338619,2.0
1999,d10624285,5.0
2000,d7171660,1.0
2001,d4268632,1.0
2002,d7591721,1.0
2003,d13220030,4.0
2004,d12788115,3.0
2005,d13232007,3.0
2006,d13415332,2.0
2007,d7277870,1.0
2008,d10713299,9.0
2009,d5791721,3.0
2010,d12411211,20.0
2011,d3975204,1.0
2012,d12081488,2.0
2013,d10396602,2.0
2014,d5487134,2.0
2015,d12728105,3.0
2016,d7124116,5.0
2017,d12682862,5.0
2018,d13448140,7.0
2019,d12512061,10.0
2020,d1077859,1.0
2021,d13185579,29.0
2022,d12995096,
2023,d9873529,3.0
2024,d1081031,1.0
2025,d1337116,1.0
2026,d5969402,3.0
2027,d5796579,3.0
2028,d9726072,1.0
2029,d1381912,1.0
2030,d12946830,2.0
2031,d10470924,
2032,d12066507,1.0
2033,d8338555,1.0
2034,d12050622,
2035,d12575804,3.0
2036,d7124442,3.0
2037,d12965944,7.0
2038,d11828719,
2039,d11666944,
2040,d12881164,2.0
2041,d12535728,5.0
2042,d9735838,1.0
2043,d11873792,
2044,d1039266,1.0
2045,d5220150,
2046,d10058514,1.0
2047,d12556427,1.0
2048,d2569217,1.0
2049,d8408390,1.0
2050,d2393764,1.0
2051,d6782102,1.0
2052,d1317102,1.0
2053,d5558249,2.0
2054,d10153493,
2055,d12457922,5.0
2056,d1035211,1.0
2057,d10464588,2.0
2058,d12992755,22.0
2059,d3199333,1.0
2060,d5877986,1.0
2061,d8448848,1.0
2062,d10145743,33.0
2063,d12670446,1.0
2064,d4768736,7.0
2065,d1563747,1.0
2066,d8796653,1.0
2067,d10795713,2.0
2068,d3964087,1.0
2069,d5961438,1.0
2070,d13344437,1.0
2071,d12326267,1.0
2072,d5818982,
2073,d13171768,11.0
2074,d3843048,1.0
2075,d2307872,2.0
2076,d5018865,2.0
2077,d5506152,1.0
2078,d12911584,1.0
2079,d7123804,1.0
2080,d7209037,1.0
2081,d10799309,1.0
2082,d12800119,5.0
2083,d7123681,1.0
2084,d12556914,6.0
2085,d12458656,8.0
2086,d12897344,21.0
2087,d1044849,1.0
2088,d8490343,
2089,d12146470,11.0
2090,d5815636,
2091,d12928932,12.0
2092,d5823951,2.0
2093,d7078322,1.0
2094,d4801159,1.0
2095,d8744858,7.0
2096,d10820096,3.0
2097,d2346485,1.0
2098,d7210334,1.0
2099,d7124068,1.0
2100,d5870318,2.0
2101,d12964475,1.0
2102,d12932899,7.0
2103,d6073421,1.0
2104,d801581,1.0
2105,d8712859,1.0
2106,d1044990,1.0
2107,d12017002,1.0
2108,d4062112,1.0
2109,d12143420,1.0
2110,d12950931,22.0
2111,d13206835,242.0
2112,d12794736,14.0
2113,d12351897,4.0
2114,d11949038,5.0
2115,d12106215,3.0
2116,d11535662,2.0
2117,d5443522,
2118,d1044296,0.0
2119,d10485659,2.0
2120,d11822289,1.0
2121,d12153665,
2122,d10379496,1.0
2123,d1039192,1.0
2124,d7352562,1.0
2125,d695915,3.0
2126,d10693216,17.0
2127,d4835368,4.0
2128,d5603997,1.0
2129,d12535509,6.0
2130,d13100274,43.0
2131,d12188784,1.0
2132,d13312169,3.0
2133,d11695375,2.0
2134,d7803007,1.0
2135,d11814236,4.0
2136,d12929803,9.0
2137,d2652010,1.0
2138,d13149443,
2139,d8562181,3.0
2140,d7690640,1.0
2141,d8297517,16.0
2142,d2670859,1.0
2143,d13388959,11.0
2144,d1044949,1.0
2145,d10332757,1.0
2146,d12124975,
2147,d5796309,2.0
2148,d8133272,1.0
2149,d8341278,1.0
2150,d12866345,36.0
2151,d12636858,5.0
2152,d11890705,
2153,d12879264,2.0
2154,d11846928,1.0
2155,d10229509,1.0
2156,d13072321,1.0
2157,d6762508,1.0
2158,d13457625,1.0
2159,d11888735,10.0
2160,d13164602,6.0
2161,d11913689,1.0
2162,d715469,1.0
2163,d10509783,
2164,d12950507,6.0
2165,d10507284,
2166,d12998100,3.0
2167,d8119726,2.0
2168,d10520118,4.0
2169,d12877197,1.0
2170,d8274224,1.0
2171,d12402367,3.0
2172,d9778647,
2173,d12690564,6.0
2174,d12880646,1.0
2175,d13313833,15.0
2176,d12996273,8.0
2177,d4770037,2.0
2178,d12273000,5.0
2179,d4768133,1.0
2180,d12300241,3.0
2181,d12097020,1.0
2182,d5122686,4.0
2183,d12856591,13.0
2184,d2616613,1.0
2185,d959188,1.0
2186,d13074002,3.0
2187,d12100345,3.0
2188,d7720040,1.0
2189,d7652022,
2190,d12219387,3.0
2191,d8068545,1.0
2192,d10664008,2.0
2193,d11544046,1.0
2194,d11956134,
2195,d12870847,9.0
2196,d12175056,5.0
2197,d8339936,4.0
2198,d12967849,7.0
2199,d12952483,8.0
2200,d11801250,2.0
2201,d12691064,
2202,d9711131,2.0
2203,d4770266,2.0
2204,d12129922,1.0
2205,d12217591,12.0
2206,d4283122,4.0
2207,d13093490,1.0
2208,d5778793,
2209,d5775967,
2210,d5122707,1.0
2211,d10832499,1.0
2212,d7953129,2.0
2213,d5796154,
2214,d5873511,
2215,d4476672,1.0
2216,d4724873,1.0
2217,d7938911,
2218,d12596770,8.0
2219,d8425174,1.0
2220,d8693312,1.0
2221,d12709311,4.0
2222,d8298503,2.0
2223,d4288479,1.0
2224,d11956707,2.0
2225,d12657458,3.0
2226,d11921386,
2227,d13130027,6.0
2228,d10810171,2.0
2229,d13275208,2.0
2230,d12515422,2.0
2231,d12789880,5.0
2232,d4589114,1.0
2233,d13143590,17.0
2234,d3487002,1.0
2235,d5220188,
2236,d2307390,1.0
2237,d8154698,3.0
2238,d12709307,19.0
2239,d2250031,2.0
2240,d10624889,1.0
2241,d10388502,1.0
2242,d5815452,
2243,d13205768,5.0
2244,d7133705,1.0
2245,d10357352,
2246,d4149308,
2247,d11872400,4.0
2248,d12320872,3.0
2249,d12907065,5.0
2250,d6706687,1.0
2251,d12435635,3.0
2252,d5519500,1.0
2253,d9746789,
2254,d4221365,
2255,d696297,1.0
2256,d694814,1.0
2257,d13326979,24.0
2258,d8339589,1.0
2259,d5870795,1.0
2260,d4768263,1.0
2261,d8362971,1.0
2262,d12909690,4.0
2263,d12255465,
2264,d5106382,1.0
2265,d12953611,2.0
2266,d5828140,1.0
2267,d12936963,1.0
2268,d11867679,8.0
2269,d1044962,1.0
2270,d12833748,3.0
2271,d3332989,1.0
2272,d13003250,1.0
2273,d5771357,1.0
2274,d13313752,36.0
2275,d8703632,1.0
2276,d7254739,2.0
2277,d1354453,0.0
2278,d7382802,1.0
2279,d10744724,
2280,d1408549,1.0
2281,d5583309,4.0
2282,d5581136,3.0
2283,d12006243,
2284,d12187875,1.0
2285,d10666998,1.0
2286,d7123346,
2287,d940947,1.0
2288,d13277444,11.0
2289,d12697222,13.0
2290,d5811130,
2291,d7676066,1.0
2292,d10497174,1.0
2293,d2703121,1.0
2294,d12175666,
2295,d13094271,1.0
2296,d12059608,4.0
2297,d5852565,
2298,d12869413,1.0
2299,d11626474,2.0
2300,d13164810,3.0
2301,d13197317,3.0
2302,d5795153,2.0
2303,d997823,2.0
2304,d11966514,6.0
2305,d12879684,18.0
2306,d8029222,1.0
2307,d11961472,10.0
2308,d5956522,
2309,d10746369,
2310,d8390631,1.0
2311,d12800464,6.0
2312,d12898247,6.0
2313,d10357544,3.0
2314,d1319946,1.0
2315,d13198239,6.0
2316,d11502865,10.0
2317,d6919510,1.0
2318,d8604033,
2319,d8749016,1.0
2320,d1357533,1.0
2321,d11868454,2.0
2322,d8262987,1.0
2323,d10751303,1.0
2324,d7083169,1.0
2325,d12541465,7.0
2326,d10462754,1.0
2327,d1787835,1.0
2328,d8685190,1.0
2329,d12860819,3.0
2330,d946775,1.0
2331,d10148398,1.0
2332,d697500,1.0
2333,d743866,2.0
2334,d12926423,2.0
2335,d1035465,1.0
2336,d5220185,1.0
2337,d12937856,56.0
2338,d10133942,3.0
2339,d12513598,4.0
2340,d12957208,1.0
2341,d8762863,1.0
2342,d12896616,8.0
2343,d11705415,
2344,d11894290,1.0
2345,d5122244,1.0
2346,d5852779,
2347,d11777712,1.0
2348,d12712759,1.0
2349,d812144,1.0
2350,d12910175,1.0
2351,d12956476,6.0
2352,d6153178,
2353,d8822412,3.0
2354,d11833215,1.0
2355,d4604142,5.0
2356,d12180458,3.0
2357,d12922691,1.0
2358,d4769756,4.0
2359,d12864902,1.0
2360,d10767916,1.0
2361,d11701818,5.0
2362,d13322757,136.0
2363,d10747371,1.0
2364,d4913048,4.0
2365,d5531945,
2366,d11855407,1.0
2367,d12712586,2.0
2368,d7706932,1.0
2369,d13043231,23.0
2370,d4039105,3.0
2371,d8095702,1.0
2372,d5936380,4.0
2373,d5267530,1.0
2374,d13009015,10.0
2375,d13004500,6.0
2376,d11837208,1.0
2377,d8608082,
2378,d13323427,3.0
2379,d13195827,1.0
2380,d8610876,2.0
2381,d12460100,5.0
2382,d8118112,1.0
2383,d4431365,1.0
2384,d7124200,1.0
2385,d8828412,2.0
2386,d7124532,1.0
2387,d2228677,1.0
2388,d12950787,2.0
2389,d11962282,2.0
2390,d5852162,1.0
2391,d8527701,3.0
2392,d1330611,
2393,d5873310,3.0
2394,d4756628,1.0
2395,d10067438,3.0
2396,d5426896,
2397,d12571184,6.0
2398,d10390319,1.0
2399,d8359606,1.0
2400,d12871676,2.0
2401,d9810491,1.0
2402,d12624396,8.0
2403,d743851,1.0
2404,d5799567,
2405,d8411400,2.0
2406,d13495398,3.0
2407,d8795858,1.0
2408,d13171238,24.0
2409,d13290215,2.0
2410,d12786547,515.0
2411,d12435032,1.0
2412,d8713169,
2413,d12731449,2.0
2414,d10071725,5.0
2415,d10911068,3.0
2416,d12034951,2.0
2417,d12714194,11.0
2418,d5617536,1.0
2419,d12248319,5.0
2420,d13190651,26.0
2421,d12595171,1.0
2422,d10347526,1.0
2423,d12317826,2.0
2424,d13161118,2.0
2425,d5823765,3.0
2426,d5957383,
2427,d12839942,2.0
2428,d12477034,5.0
2429,d13001795,5.0
2430,d10661927,7.0
2431,d4293735,2.0
2432,d12881093,14.0
2433,d12284452,1.0
2434,d6715817,1.0
2435,d11929313,1.0
2436,d12874438,5.0
2437,d11876499,1.0
2438,d4605073,1.0
2439,d10372360,6.0
2440,d13327886,12.0
2441,d4058102,1.0
2442,d5433577,1.0
2443,d1420098,1.0
2444,d12661577,1.0
2445,d1328187,1.0
2446,d958688,1.0
2447,d7657936,1.0
2448,d2014210,1.0
2449,d7811548,4.0
2450,d12638698,12.0
2451,d12864798,5.0
2452,d12967421,1.0
2453,d7246429,1.0
2454,d13289889,16.0
2455,d13296673,2.0
2456,d10483652,1.0
2457,d3516208,1.0
2458,d5826148,
2459,d3532804,
2460,d13224877,8.0
2461,d10480192,3.0
2462,d8842283,4.0
2463,d11882314,3.0
2464,d2311079,1.0
2465,d8338515,1.0
2466,d6585847,1.0
2467,d1125188,1.0
2468,d1018608,1.0
2469,d4770118,1.0
2470,d5936326,
2471,d12339205,70.0
2472,d10020878,2.0
2473,d5506626,
2474,d12660221,9.0
2475,d12945991,
2476,d5443482,
2477,d12431270,2.0
2478,d5863935,
2479,d12613463,1.0
2480,d11850092,4.0
2481,d13091113,3.0
2482,d12532906,1.0
2483,d13160451,1078.0
2484,d3613475,1.0
2485,d5958950,1.0
2486,d4770268,1.0
2487,d7622665,23.0
2488,d1413421,2.0
2489,d13283803,5.0
2490,d5957522,1.0
2491,d7788524,1.0
2492,d13075641,1.0
2493,d5522556,2.0
2494,d10512217,1.0
2495,d3560914,2.0
2496,d2211730,1.0
2497,d5860218,2.0
2498,d12430695,1.0
2499,d12872582,1.0
2500,d4768148,3.0
2501,d4912313,
2502,d11657387,2.0
2503,d4114663,1.0
2504,d11691267,2.0
2505,d7124520,1.0
